Interval start,prague-latency,cubic-latency
0,0.000335174,0.000456586
1,0.000433693,0.000389119
2,0.000408098,0.000398869
3,0.000409732,0.000401189
4,0.000449875,0.000412199
5,0.0004173,0.000411157
6,0.000394593,0.000431041
7,0.000450505,0.000336669
8,0.000427778,0.000366072
9,0.000419533,0.00036247
10,0.00038921,0.000381961
11,0.000431889,0.000397948
12,0.00046134,0.000442637
13,0.000530635,0.000467002
14,0.000471229,0.000460156
15,0.000394674,0.000475333
16,0.000471951,0.000420696
17,0.000414315,0.000426558
18,0.000445966,0.000393417
19,0.000434395,0.000446491
20,0.00042158,0.000424661
21,0.000533932,0.000404368
22,0.00040686,0.000421692
23,0.00039877,0.000441062
24,0.000422811,0.000427561
25,0.000414303,0.000438036
26,0.000426748,0.000421142
27,0.000458915,0.000411518
28,0.000443307,0.000400609
29,0.000432505,0.000436929
30,0.000439426,0.000454698
31,0.000432829,0.000472626
32,0.000419316,0.000424197
33,0.000419955,0.000411835
34,0.000423965,0.000425997
35,0.000421815,0.000420624
36,0.000377048,0.000403568
37,0.000397228,0.000429408
38,0.000460545,0.000381409
39,0.000463321,0.00039734
40,0.000437156,0.00042211
41,0.000425429,0.000421144
42,0.000423846,0.000465571
43,0.000415655,0.000406522
44,0.000416888,0.00041362
45,0.000450111,0.000413455
46,0.000434387,0.000407075
47,0.000426042,0.000419667
48,0.000415092,0.000411651
49,0.000424526,0.000426042
50,0.000459846,0.00043583
51,0.000413235,0.000454733
52,0.000484125,0.000382255
53,0.000581507,0.000543667
54,0.000470818,0.000469185
55,0.000414446,0.000430449
56,0.000428252,0.000411378
57,0.000436131,0.000464167
58,0.000440305,0.000406058
59,0.000408879,0.000440101
60,0.000449175,0.000384267
61,0.000447331,0.000435242
62,0.000443155,0.00041416
63,0.000431605,0.000410621
64,0.000425682,0.000416914
65,0.00038497,0.000453611
66,0.000392148,0.00044241
67,0.00038305,0.000440213
68,0.000440255,0.000412464
69,0.000425937,0.000440845
70,0.000443135,0.000416594
71,0.00042443,0.000405952
72,0.000408208,0.000432428
73,0.000421415,0.000417952
74,0.0003989,0.000423424
75,0.000445274,0.00038553
76,0.000460448,0.000370273
77,0.000430399,0.000384784
78,0.000429757,0.00040178
79,0.000425618,0.000428516
80,0.000408394,0.000442546
81,0.00044871,0.000458297
82,0.000407768,0.000419567
83,0.000421013,0.000408609
84,0.000419191,0.000417787
85,0.000404019,0.000425133
86,0.000453827,0.000409411
87,0.000444341,0.000447794
88,0.000458294,0.000429379
89,0.000453549,0.000405308
90,0.000389739,0.000383539
91,0.000464861,0.0004028
92,0.000421371,0.0004103
93,0.000442113,0.000401917
94,0.000421365,0.000395497
95,0.000416517,0.000428536
96,0.000395178,0.000428232
97,0.000420779,0.000409042
98,0.000423725,0.000418583
99,0.000415109,0.000427872
100,0.000412509,0.00044045
101,0.000396755,0.00040604
102,0.000412148,0.000406473
103,0.000426543,0.000467422
104,0.000461818,0.000422598
105,0.000455247,0.000442723
106,0.000430588,0.000467063
107,0.000417471,0.000405014
108,0.000416014,0.000456368
109,0.000436438,0.000428559
110,0.000411819,0.000412159
111,0.000437243,0.000425314
112,0.000484866,0.000398514
113,0.000442581,0.000476626
114,0.000458636,0.000458557
115,0.000415387,0.000427598
116,0.000427706,0.00042533
117,0.000428367,0.000445383
118,0.000430075,0.000531455
119,0.000429877,0.000440337
120,0.000431287,0.000393783
121,0.000449239,0.00041568
122,0.000433295,0.00039921
123,0.000423761,0.000430928
124,0.000431067,0.000416388
125,0.000402319,0.000440934
126,0.000434441,0.00039189
127,0.000394295,0.00041916
128,0.000374174,0.000437617
129,0.000398224,0.000404152
130,0.000419878,0.000396793
131,0.00039382,0.000410866
132,0.00044058,0.000408441
133,0.000472795,0.000420033
134,0.000400011,0.000426945
135,0.000421879,0.000404159
136,0.000438202,0.000405716
137,0.000424546,0.000466887
138,0.000398117,0.000414032
139,0.000433442,0.000519452
140,0.000421764,0.000422217
141,0.000516535,0.000473525
142,0.000383393,0.000421588
143,0.000335339,0.000383414
144,0.000461425,0.000397207
145,0.000428472,0.000435955
146,0.000464507,0.000495449
147,0.000476155,0.000447681
148,0.000409662,0.000458663
149,0.00041338,0.000519574
150,0.000446482,0.000443789
,0.00042953,0.000424939
