Interval start,prague-latency,cubic-latency
0,0.000294088,0.000208187
1,0.000330129,0.000205751
2,0.000378241,0.000244659
3,0.000350238,0.000221414
4,0.000345876,0.000201641
5,0.000356555,0.000229414
6,0.000268023,0.000283331
7,0.000290837,0.000212707
8,0.00028951,0.000240339
9,0.00025188,0.000341205
10,0.000223084,0.000281067
11,0.000268817,0.000328006
12,0.000245528,0.000299783
13,0.000240569,0.00038259
14,0.000194706,0.000465717
15,0.000333147,0.000387502
16,0.000173831,0.000480217
17,0.000196804,0.000456667
18,0.000255638,0.000403007
19,0.000435157,0.000419344
20,0.000312691,0.000519342
21,0.000654966,0.000345836
22,0.000338546,0.000383331
23,0.000252097,0.000624612
24,0.000181532,0.000415825
25,0.000250028,0.000456485
26,0.000278672,0.000337748
27,0.000235132,0.000364811
28,0.000254002,0.000403557
29,0.000217622,0.000405008
30,0.000233237,0.000365571
31,0.000283469,0.000391754
32,0.000173052,0.000362099
33,0.000224583,0.000393993
34,0.000333389,0.000328942
35,0.000202282,0.000402499
36,0.000203144,0.000366577
37,0.000240842,0.000390774
38,0.00014685,0.000436512
39,0.000201031,0.000406953
40,0.000309227,0.00032375
41,0.000290045,0.000449467
42,0.000207746,0.000429549
43,0.000474563,0.000374524
44,0.000292981,0.00037855
45,0.000170252,0.000550379
46,0.00028183,0.000339173
47,0.000189761,0.000400518
48,0.000281059,0.000338778
49,0.000330256,0.000380066
50,0.000250545,0.000299918
51,0.000308408,0.00034403
52,0.000238779,0.000411896
53,0.000296255,0.00035224
54,0.000241702,0.000421399
55,0.000203821,0.000312479
56,0.000215008,0.000434035
57,0.000305843,0.000357265
58,0.00033987,0.000413912
59,0.000379796,0.000336104
60,0.000302488,0.000365838
61,0.000303806,0.000285234
62,0.000215868,0.000404081
63,0.000354384,0.000291296
64,0.000266366,0.000432983
65,0.000238612,0.000363176
66,0.000267343,0.000388505
67,0.000184514,0.000365925
68,0.000206192,0.000389195
69,0.000140829,0.000378472
70,0.000242877,0.000429798
71,0.000227369,0.000475278
72,0.000327146,0.000399801
73,0.000161446,0.00041665
74,0.000213126,0.000410873
75,0.000113877,0.000430157
76,0.000378736,0.000371763
77,0.000372534,0.000329344
78,0.000345115,0.000345736
79,0.000167679,0.000401755
80,0.000275978,0.000505797
81,0.000206192,0.000363707
82,0.000385148,0.000449054
83,0.000236681,0.000475438
84,0.000240742,0.000404889
85,0.000285984,0.00064433
86,0.000373332,0.000294222
87,0.000433443,0.000465315
88,0.000210532,0.000399313
89,0.000289662,0.000353841
90,0.000163771,0.000630719
91,0.000250073,0.0003959
92,0.000887372,0.000428251
93,0.000259858,0.000362244
94,0.000346921,0.000371845
95,0.000112005,0.000374444
96,0.000244151,0.000442255
97,0.000254093,0.00037087
98,0.000426489,0.000430523
99,0.000271236,0.000422834
100,0.000208563,0.000370266
101,0.000303574,0.000390228
102,0.00049439,0.000445708
103,0.000124693,0.000426775
104,0.000362997,0.000367892
105,0.000391976,0.000463447
106,0.000259545,0.000329602
107,0.000132001,0.000473907
108,0.000306743,0.000399382
109,0.00014782,0.000364939
110,0.000263884,0.000415622
111,0.000174657,0.000430149
112,0.000285533,0.000418012
113,0.000223277,0.000412993
114,0.00020325,0.000402804
115,0.000216681,0.000405287
116,0.000345724,0.00037996
117,0.000257385,0.000441581
118,0.000223941,0.000407554
119,0.000167296,0.000400921
120,0.000382071,0.000388939
121,0.000337368,0.00030341
122,0.000303149,0.000419454
123,0.000242288,0.000489999
124,9.69E-05,0.000420235
125,0.00017535,0.000361507
126,0.000190595,0.000400735
127,0.000226256,0.000392881
128,0.000183972,0.000430484
129,0.0002602,0.000439723
130,0.000124125,0.000404279
131,0.000593103,0.000367407
132,0.000197268,0.000369507
133,0.000210252,0.0003067
134,0.000341814,0.000754932
135,0.000325331,0.000372047
136,0.000295369,0.000379916
137,7.95E-05,0.000539878
138,0.000118313,0.00030202
139,0.000176997,0.00040739
140,0.000273669,0.000407847
141,0.00023157,0.000361925
142,0.000143597,0.000366416
143,0.000136146,0.000420136
144,0.00023419,0.000324626
145,0.00016489,0.000379685
146,0.000194026,0.000405136
147,0.000252718,0.0003458
148,0.00025808,0.000310718
149,0.000234699,0.000495644
150,0.000126219,0.000396811
AVG,0.000264473,0.000390183
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
