Interval start,prague-latency,cubic-latency
0,0.000343976,0.000388658
1,0.000332582,0.000380687
2,0.000399978,0.000468983
3,0.00033898,0.000438605
4,0.000340479,0.000451673
5,0.00035219,0.000438444
6,0.000333635,0.000453249
7,0.000342358,0.000391833
8,0.000337498,0.000412097
9,0.000331328,0.000503861
10,0.000373755,0.000411175
11,0.000308239,0.000548055
12,0.000335721,0.000391111
13,0.000336421,0.000427276
14,0.000335965,0.000439993
15,0.000326869,0.000414298
16,0.000339896,0.000417384
17,0.000353828,0.000415444
18,0.000350289,0.000415713
19,0.000345707,0.000430279
20,0.000324713,0.000466054
21,0.000353875,0.000401845
22,0.000348363,0.000483929
23,0.000336648,0.000421131
24,0.000359261,0.000355621
25,0.000329852,0.000433271
26,0.000337733,0.000492769
27,0.00032473,0.00044844
28,0.000336099,0.000424896
29,0.000352003,0.000386753
30,0.000357735,0.000385421
31,0.000357852,0.000364394
32,0.000338887,0.000392496
33,0.000351619,0.000417854
34,0.000342069,0.000511965
35,0.000303511,0.000307408
36,0.000356234,0.000434359
37,0.000358434,0.00039517
38,0.000336868,0.000456666
39,0.000348757,0.000393448
40,0.000327787,0.000465679
41,0.000334925,0.000417777
42,0.00029969,0.000397402
43,0.000323368,0.000459248
44,0.000324874,0.000452093
45,0.000326521,0.000424225
46,0.000333965,0.000464038
47,0.000350026,0.000395951
48,0.000346054,0.000410536
49,0.000337766,0.00044841
50,0.00034666,0.000422961
51,0.000332361,0.000431628
52,0.000329164,0.000420798
53,0.000336499,0.000415427
54,0.000329829,0.000464043
55,0.000346969,0.000399512
56,0.000328242,0.000472291
57,0.000343828,0.000384956
58,0.000346632,0.000419732
59,0.000367869,0.000502621
60,0.000364542,0.000382946
61,0.000327017,0.000442803
62,0.000365171,0.000403503
63,0.000345149,0.000451747
64,0.000342729,0.000429697
65,0.00036033,0.00038016
66,0.000325468,0.000422444
67,0.000328107,0.000469079
68,0.000314976,0.000463443
69,0.000340525,0.000439393
70,0.000364956,0.000436553
71,0.000340661,0.000413519
72,0.000334038,0.000418133
73,0.000333027,0.000403886
74,0.000333419,0.000406646
75,0.000300593,0.000370782
76,0.000289166,0.000333604
77,0.000300364,0.000318245
78,0.000298826,0.000351232
79,0.000314978,0.000337362
80,0.000318056,0.000399793
81,0.000349581,0.000404199
82,0.000366559,0.000395149
83,0.000359313,0.000379248
84,0.000329503,0.00038085
85,0.000319952,0.000349804
86,0.000304783,0.000379694
87,0.000337968,0.000417108
88,0.000369839,0.000424431
89,0.000338071,0.000411867
90,0.000324019,0.000416593
91,0.000321076,0.000440793
92,0.000319679,0.000457857
93,0.00033427,0.000428503
94,0.000303717,0.000438707
95,0.000331921,0.000441218
96,0.000330231,0.000438811
97,0.000346726,0.000414489
98,0.000357748,0.000443098
99,0.000351897,0.000491033
100,0.000339238,0.000450888
101,0.000362519,0.000461759
102,0.000336048,0.000459227
103,0.000334014,0.000423026
104,0.000308624,0.000467432
105,0.000361085,0.000399064
106,0.000300682,0.000434368
107,0.000343449,0.000401493
108,0.000343673,0.000403119
109,0.000319455,0.000459646
110,0.000349629,0.000394539
111,0.000352607,0.000396259
112,0.000371502,0.000452877
113,0.000345891,0.000385768
114,0.00032114,0.000439288
115,0.000336286,0.000459817
116,0.000330582,0.000466833
117,0.000343799,0.000397951
118,0.000304825,0.000437999
119,0.000330628,0.000546208
120,0.000360066,0.000401915
121,0.000385015,0.000377997
122,0.000260637,0.000419132
123,0.000288969,0.000316289
124,0.000293161,0.000319901
125,0.00031102,0.000330464
126,0.000300667,0.000334229
127,0.000319781,0.000409077
128,0.000373199,0.000386645
129,0.000387493,0.000381236
130,0.000348447,0.00043973
131,0.0010863,0.00141361
132,0.00061709,0.0006594
133,0.000377414,0.000395603
134,0.000322617,0.000383968
135,0.000351115,0.000437797
136,0.000355565,0.000415277
137,0.000350595,0.000398085
138,0.00036114,0.000415917
139,0.000321522,0.000438567
140,0.000350546,0.000428506
141,0.00035265,0.00039357
142,0.000349615,0.000456322
143,0.000350733,0.000394545
144,0.000319253,0.000454061
145,0.000337243,0.000411087
146,0.00035015,0.000455129
147,0.000385358,0.000548634
148,0.000319187,0.000452988
149,0.000362948,0.000457764
150,0.000370248,0.000426083
,0.000345181,0.000429149
