Interval start,prague-throughput,cubic-throughput
0,1130000,1140000
1,1080000,1080000
2,1140000,1140000
3,1100000,1090000
4,947074,948354
5,1110000,1110000
6,1120000,1120000
7,1060000,1060000
8,1040000,1050000
9,1130000,1130000
10,1080000,1080000
11,962564,966522
12,1100000,1090000
13,1140000,1140000
14,1040000,1050000
15,1020000,1020000
16,940316,942882
17,1150000,1140000
18,1100000,1100000
19,1110000,1100000
20,1150000,1150000
21,1090000,1100000
22,1140000,1140000
23,873608,873452
24,1090000,1080000
25,1100000,1110000
26,1110000,1100000
27,1060000,1060000
28,1150000,1160000
29,1100000,1100000
30,1030000,1030000
31,1140000,1140000
32,1090000,1090000
33,1070000,1070000
34,1060000,1060000
35,572858,576464
36,435952,433152
37,463166,464836
38,902342,895414
39,1040000,1030000
40,1080000,1070000
41,1110000,1110000
42,1170000,1160000
43,1140000,1130000
44,1070000,1070000
45,1140000,1130000
46,1110000,1110000
47,1130000,1130000
48,1130000,1130000
49,1110000,1120000
50,1140000,1140000
51,1050000,1050000
52,1140000,1140000
53,1140000,1130000
54,1110000,1120000
55,1090000,1090000
56,995724,993118
57,1010000,1010000
58,1120000,1110000
59,1110000,1100000
60,981552,986756
61,981278,979570
62,1080000,1070000
63,1120000,1120000
64,951148,955612
65,1140000,1130000
66,1130000,1130000
67,1090000,1100000
68,1040000,1040000
69,1140000,1130000
70,1150000,1150000
71,1050000,1060000
72,1050000,1040000
73,1100000,1100000
74,1080000,1080000
75,994366,996848
76,974482,973708
77,1100000,1100000
78,1120000,1120000
79,1130000,1130000
80,1120000,1120000
81,1140000,1140000
82,1100000,1100000
83,1050000,1060000
84,1010000,1010000
85,1110000,1110000
86,1050000,1050000
87,1060000,1060000
88,1130000,1130000
89,1130000,1130000
90,1080000,1080000
91,1040000,1040000
92,1090000,1090000
93,1130000,1130000
94,1090000,1090000
95,1150000,1140000
96,1080000,1080000
97,1020000,1020000
98,1010000,1010000
99,1010000,1000000
100,1070000,1070000
101,1030000,1030000
102,1050000,1050000
103,1100000,1100000
104,1090000,1090000
105,1120000,1120000
106,1060000,1060000
107,1110000,1110000
108,1120000,1120000
109,1130000,1130000
110,1100000,1110000
111,1090000,1090000
112,862276,858234
113,1060000,1070000
114,1060000,1060000
115,1080000,1080000
116,1060000,1060000
117,1020000,1020000
118,1040000,1040000
119,1070000,1080000
120,960622,955456
121,1030000,1030000
122,981792,981240
123,1090000,1090000
124,986406,983260
125,1070000,1070000
126,1030000,1020000
127,1060000,1060000
128,1110000,1110000
129,1100000,1100000
130,1090000,1090000
131,995600,993884
132,1030000,1040000
133,1010000,1010000
134,1080000,1080000
135,1090000,1090000
136,1080000,1070000
137,1080000,1080000
138,1090000,1100000
139,1060000,1060000
140,955066,957210
141,1010000,1010000
142,970908,970252
143,980194,982214
144,1020000,1020000
145,1060000,1060000
146,1040000,1040000
147,1120000,1120000
148,1110000,1110000
149,1100000,1110000
150,1000000,999798
,1059220.954,1059052.093
