Interval start,prague-latency,cubic-latency
0,0.000377403,0.000369152
1,0.000396816,0.000383593
2,0.000454362,0.00042899
3,0.000378783,0.000423827
4,0.000368133,0.000395086
5,0.000355525,0.000400516
6,0.000401327,0.000377395
7,0.000405554,0.00040191
8,0.000420966,0.000464515
9,0.000340316,0.000428381
10,0.000371835,0.000404013
11,0.000385956,0.000435459
12,0.000356346,0.000453392
13,0.000395875,0.000415897
14,0.000325985,0.000422439
15,0.000349438,0.000434036
16,0.000383325,0.000397248
17,0.000362181,0.00038984
18,0.000359426,0.000420501
19,0.000426115,0.000393336
20,0.000362692,0.000386549
21,0.000360917,0.000413303
22,0.000354608,0.000415646
23,0.000348997,0.000427382
24,0.000368929,0.000451685
25,0.000467056,0.000470824
26,0.000396431,0.000459184
27,0.00038632,0.00047975
28,0.000376301,0.000408476
29,0.000381967,0.000399653
30,0.000409306,0.000399393
31,0.000337553,0.000387185
32,0.000361832,0.000435045
33,0.000360889,0.000443073
34,0.000414024,0.00040521
35,0.000366436,0.000438059
36,0.000359663,0.000396296
37,0.000343816,0.000391562
38,0.000389786,0.00041979
39,0.000326901,0.000404632
40,0.000359956,0.000398132
41,0.000354654,0.000405207
42,0.000404965,0.000372947
43,0.000351088,0.00043232
44,0.000375711,0.000370285
45,0.00038179,0.000371991
46,0.00035777,0.000426509
47,0.000390964,0.00039236
48,0.000390903,0.000385185
49,0.00040992,0.000397085
50,0.000396985,0.000375781
51,0.000381418,0.000372986
52,0.000428182,0.000417093
53,0.000362176,0.000392356
54,0.000361735,0.00039607
55,0.000372648,0.000400188
56,0.000348504,0.000436727
57,0.000369187,0.000436536
58,0.000370164,0.000395017
59,0.00034639,0.000409081
60,0.000338524,0.000414908
61,0.000375044,0.000377441
62,0.000380576,0.000499726
63,0.00035929,0.00038654
64,0.000362706,0.000413095
65,0.000353681,0.000425167
66,0.000365307,0.000491595
67,0.000374454,0.000433324
68,0.000378644,0.000405636
69,0.00035343,0.000423591
70,0.000387774,0.000374497
71,0.00036838,0.000393605
72,0.00037098,0.00039249
73,0.00035846,0.000416822
74,0.00039225,0.000405946
75,0.000368784,0.000424209
76,0.000394506,0.000400975
77,0.000345283,0.000432524
78,0.000350315,0.000427254
79,0.00040232,0.000459775
80,0.000381925,0.000349429
81,0.000334362,0.000462003
82,0.000367284,0.000394758
83,0.000394318,0.000387835
84,0.000338864,0.000426087
85,0.000348318,0.000447676
86,0.000370215,0.000408464
87,0.000355648,0.000413681
88,0.00035619,0.000410512
89,0.000393015,0.000445578
90,0.000403136,0.000423926
91,0.000358997,0.000431214
92,0.000364749,0.000448157
93,0.000345982,0.000406236
94,0.000368258,0.000376114
95,0.000411799,0.000435232
96,0.000368285,0.000409815
97,0.000363401,0.000381938
98,0.000357883,0.00039965
99,0.000371795,0.000424253
100,0.000363284,0.000410107
101,0.000335163,0.000391344
102,0.000376027,0.000446343
103,0.000395428,0.000437254
104,0.000351559,0.0004448
105,0.000349416,0.000435168
106,0.000389869,0.000469511
107,0.000361025,0.000423364
108,0.000362575,0.000373302
109,0.000360051,0.000438356
110,0.000368931,0.000429077
111,0.000369904,0.00038479
112,0.000361998,0.000412111
113,0.000391747,0.000388332
114,0.000377303,0.000399739
115,0.000348801,0.000405856
116,0.000385305,0.000383514
117,0.00036763,0.000408268
118,0.00036936,0.000406938
119,0.00037646,0.000438557
120,0.000401852,0.000389862
121,0.000350258,0.000426317
122,0.000409967,0.000499144
123,0.00042202,0.000432451
124,0.00039897,0.000455973
125,0.00038582,0.000431806
126,0.000426438,0.000411426
127,0.000368777,0.0004213
128,0.000359259,0.000411609
129,0.000391548,0.000399876
130,0.000368607,0.000438418
131,0.000357787,0.000428232
132,0.000392793,0.000396661
133,0.00036977,0.00044066
134,0.000379445,0.000367903
135,0.000380404,0.000391383
136,0.000370888,0.000410803
137,0.000401569,0.00042216
138,0.000374616,0.000414579
139,0.000380957,0.000393803
140,0.000410329,0.000417705
141,0.000356941,0.000423264
142,0.000359215,0.00045404
143,0.000355595,0.000448008
144,0.000360392,0.000410955
145,0.000411396,0.000473844
146,0.000385084,0.000385518
147,0.000378744,0.000384104
148,0.000353278,0.000413489
149,0.000346955,0.000390302
150,0.00035241,0.000408123
,0.000373935,0.000414955
